iteration,cycles,instructions,cache-misses,branch-misses,page-faults,context-switches,cpu-migrations
234,113855500,180007647,217754,546458,2492,65,4
235,112620117,179451469,216402,555020,2499,63,1
236,111038814,179370597,202250,549976,2492,62,2
237,113013276,179850132,231471,545976,2499,67,3
238,116237751,179746774,218396,564037,2530,66,7
239,119923887,179547930,222227,543625,2495,64,5
240,119348207,179377943,210503,548760,2496,64,1
241,112610610,179624071,210305,553954,2496,65,7
242,116672699,179748844,212941,547336,2505,68,5
243,114493756,179914586,208249,551340,2494,65,5
244,114703944,180111613,211626,557368,2534,68,3
245,119458196,180291690,203304,558228,2509,68,6
246,116560996,179512102,209515,550536,2510,67,5
247,122153179,179639980,239538,543630,2494,65,5
248,115600362,180216318,251155,557144,2498,65,8
249,118234209,180360862,236205,552249,2529,63,2
250,117540173,179540252,220632,557711,2495,62,5
251,117203971,179445358,211172,552805,2507,68,5
252,119276144,179663242,231521,558487,2501,65,2
253,121545656,180219475,239319,538430,2490,67,6
254,116939889,179897020,235718,553259,2512,64,7
255,111357084,179930485,216552,557358,2495,68,2
256,115696058,179365150,224154,558693,2487,68,3
257,115917175,179826761,227527,550927,2507,69,8
258,116740207,179593443,213712,548617,2490,64,3
259,111739003,179540130,218423,546158,2495,66,1
260,114722882,179511086,199856,551321,2495,66,5
261,116870563,179819154,215492,547287,2497,68,5
262,112399368,180284989,202232,551861,2490,67,2
263,114861454,179214861,213980,548440,2495,67,4
264,113129153,179537681,214738,545365,2493,67,3
265,116184082,179069217,214271,552797,2496,65,3
266,113294570,179681048,214683,540526,2491,63,3
267,112552411,180076760,211086,544118,2496,63,2
268,112267742,179623576,217299,542407,2490,65,2
269,120351499,179537346,215423,548370,2496,64,5
270,119010192,180329307,228837,559288,2530,66,2
271,113722506,179996303,227937,553773,2511,65,4
272,117328624,180174789,240433,537450,2494,66,7
273,117220270,179841529,232899,554168,2520,68,6
274,112828424,179733130,210679,543017,2512,64,7
275,115287668,179690377,221894,546782,2493,63,8
276,110749283,180023761,210971,553418,2522,68,5
277,115334852,180021102,240373,553353,2501,64,2
278,115348111,180163730,234860,556560,2528,65,2
279,114748891,179669158,238551,543000,2510,62,5
280,115752009,180010266,236729,550808,2516,68,7
281,114422066,179963330,219412,555690,2499,65,3
282,117328623,179864264,221990,547025,2495,63,5
283,113739871,179760128,229094,551898,2504,65,6
284,114942327,179841436,234047,558575,2503,68,7
285,115859936,179943162,219776,551751,2496,65,5
286,115839364,179795818,236789,544216,2498,63,8
287,118191499,179649788,216293,545594,2497,65,4
288,112623501,179514411,209188,545946,2498,66,3
289,114165040,179667003,216294,547604,2497,73,6
290,113334503,178593921,216476,553370,2503,66,2
291,113518057,179705139,199195,551649,2490,69,8
292,114969879,180043872,207505,563487,2526,70,5
293,115954178,179677384,216939,544419,2495,65,1
294,120602197,180281775,212022,544593,2524,66,8
295,112955752,179036201,210937,539788,2495,65,1
296,116460283,179623688,217135,548724,2498,66,4
297,116912509,179221220,224096,540594,2500,63,7
298,114989932,179827478,218745,561066,2500,64,3
299,116069953,179706051,216349,556165,2518,65,6
300,119667676,180047361,222166,554822,2499,68,3
301,113780353,179727376,214508,559853,2492,71,4
302,123446009,179377765,221448,555192,2497,64,1
303,121363449,178301897,264877,549765,2429,67,4
304,114571709,180019134,236976,552126,2527,68,7
305,119918559,180172435,226141,549763,2524,66,4
306,112967701,179897082,220009,543931,2510,68,6
307,116227622,179544764,221737,541611,2503,69,4
308,112249726,179448920,233307,540625,2485,65,2
309,112719556,179358812,224617,553323,2490,66,5
310,116306942,179532645,230673,550662,2495,65,4
311,113296390,180125471,221978,557008,2501,66,3
312,119685482,179965901,209428,546247,2497,67,5
313,120956490,179481294,211296,547422,2491,65,3
314,117182942,179874995,219921,553828,2503,64,5
315,111462439,179705021,196196,557004,2519,65,8
316,116475771,179795729,222536,552771,2512,68,5
317,113121942,179182825,220941,539622,2492,65,2
318,120907939,180040390,248651,556025,2510,67,4
319,116717244,180049195,236319,541367,2527,66,4
320,115835621,180139834,228196,545309,2501,64,1
321,113863920,179793335,218909,538878,2497,67,5
322,114453018,180116590,209246,548512,2534,68,5
323,118380532,180194430,226390,559652,2531,66,5
324,117793546,179768050,224057,544358,2511,63,4
325,112240593,179949567,232709,555835,2498,66,7
326,120030166,179916851,221347,556946,2527,64,3
327,117018652,180021081,220581,547554,2515,66,5
328,114399918,179922119,211417,561264,2497,66,1
329,115938495,179954944,214329,548525,2503,69,3
330,116610767,180093896,217601,551013,2527,65,4
331,117884675,179110773,208536,549273,2499,67,6
332,116521972,179792096,223114,548765,2497,65,4
333,114950625,179764425,213469,539973,2496,64,3
334,114292152,179969812,220651,561305,2524,64,4
335,115456568,180063187,224190,553383,2502,62,6
336,114041742,179911847,211937,541327,2524,63,3
337,114533447,179919063,208234,542606,2498,65,5
338,114971398,179424652,218039,550777,2497,64,8
339,116397290,179761531,222922,550654,2498,67,4
340,115361189,179635756,217209,540423,2488,66,2
341,111124559,179552364,208133,543532,2498,64,4
342,110313220,179836609,197205,544761,2496,67,5
343,113272919,179757159,186374,548836,2494,65,5
344,114933207,179645969,213045,552457,2496,68,2
345,112561144,179350056,209508,551113,2499,65,6
346,119334531,179698413,211772,558142,2496,63,3
347,119247416,180309949,224066,560531,2510,65,6
348,119005038,179448032,209944,546955,2514,62,6
349,119476307,179943495,236355,546851,2494,70,2
350,119178812,180636802,244257,542470,2525,65,4
351,114210958,179362911,229801,539484,2497,67,9
352,115730715,179083479,215148,546692,2495,62,1
353,117524677,179843678,256057,554236,2521,71,10
354,115565025,180679714,217033,552007,2527,69,3
355,114383811,179569186,224846,549605,2486,65,4
356,116101977,179533486,231562,545785,2501,64,9
357,114431723,180278961,205017,560299,2498,69,5
358,116917803,179943886,209167,561724,2503,73,5
359,109579256,179394485,209452,552974,2497,65,3
360,115035627,179950758,203501,549967,2498,71,2
361,114482383,179890640,232347,548187,2500,67,3
362,114820231,180319853,220325,542586,2523,65,6
363,111982579,179826552,238757,544118,2492,64,4
364,113363746,179210795,210043,559737,2489,68,6
365,115491894,179720733,234526,548149,2507,66,6
366,116349073,179210313,232582,535781,2493,62,4
367,120690627,179682977,229311,557445,2520,65,3
368,114621361,179049042,212728,553204,2500,65,3
369,117140032,179745575,217733,547680,2497,68,4
370,116075933,179817581,218523,546124,2502,64,1
371,114142343,179961842,228923,545814,2512,68,2
372,117982596,180016428,240426,542367,2510,65,6
373,115962404,179819226,227882,543844,2506,64,4
374,121391866,179593458,236297,563587,2503,64,3
375,114249768,180056157,237691,538817,2503,64,7
376,123995574,179622589,231562,570271,2510,70,6
377,119114220,179697933,212428,558730,2499,64,6
378,116050188,179577118,218612,556369,2488,67,4
379,120889374,180130447,230783,558678,2506,65,5
380,118457584,179477065,247325,541413,2508,65,9
381,121649646,179964823,224640,554154,2496,68,1
382,121273083,179251606,219074,546445,2493,66,3
383,116738181,179730214,228418,542711,2493,70,4
384,112431089,179251351,201554,550158,2499,67,0
385,114920697,179663558,206913,541204,2505,66,8
386,114193602,179591262,219645,543551,2499,66,5
387,111422195,179810408,213372,549127,2497,67,10
388,118983717,179601357,220764,544987,2503,65,6
389,113952502,179839893,217738,554666,2529,66,6
390,117751243,179812185,209906,547866,2510,65,5
391,117156092,179618360,211454,540713,2490,66,4
392,116935126,180169965,231265,550713,2536,67,4
393,120403398,179962673,228686,537967,2503,66,4
394,113014452,179184203,206963,550755,2498,67,5
395,112085094,179645088,220206,544580,2509,70,4
396,118611595,179443813,233822,555236,2496,68,5
397,114207789,179596441,241017,549617,2496,64,5
398,116942336,179304673,215819,554753,2494,66,4
399,113586508,179935472,213131,548667,2501,68,3
400,119701337,180241581,206141,550412,2507,67,5
401,118464990,179590194,230737,548015,2494,62,2
402,113795203,179321913,229281,547846,2495,66,2
403,117361374,180037140,226649,558287,2530,64,0
404,117125674,179584391,212447,551679,2496,66,7
405,115716199,180017729,217410,558277,2522,66,5
406,111320405,179774081,211127,545954,2509,67,3
407,115626758,179796942,205646,549560,2495,64,1
408,118407996,180018967,204533,547005,2503,65,4
409,116799300,179756966,216074,554419,2511,71,7
410,113551071,179494654,220639,542874,2496,63,3
411,115902995,179786983,220307,551183,2493,65,1
412,114476383,179783127,216615,556211,2511,64,2
413,114240507,179491612,219254,540571,2492,62,4
414,118885569,180763583,220244,552841,2523,64,6
415,115836292,180077344,226293,545766,2495,65,4
416,119693359,180207552,223423,561134,2531,68,6
417,116156579,180045382,215477,549626,2502,68,3
418,118176098,179791046,230646,557573,2528,67,5
419,116254766,179752730,211921,542811,2501,63,5
420,114236901,179696484,208318,550944,2495,66,5
421,117177725,180076807,216365,559267,2529,66,4
422,116890989,180339555,222542,551075,2534,67,10
423,116401226,179348818,204601,541526,2497,65,6
424,117015277,179754070,231854,546076,2497,64,4
425,118039632,180126256,244501,544748,2526,67,2
426,115325099,179732054,220051,553270,2494,64,5
427,115188957,179610243,214539,551734,2494,66,4
428,115217440,179592358,198048,552715,2497,65,1
429,113862626,179940831,242379,552816,2511,66,5
