test_run_id	role	test_type	openssh_branch	key_label	n_rows	cycles_avg	cycles_std	cycles_p50	cycles_p95	cycles_p99	cycles_min	cycles_max	instr_avg	instr_std	instr_p50	instr_p95	instr_p99	instr_min	instr_max	br_avg	br_std	br_p50	br_p95	br_p99	br_min	br_max	ipc_avg	ipc_std	ipc_p50	ipc_p95	ipc_p99	ipc_min	ipc_max	bpc_avg	bpc_std	bpc_p50	bpc_p95	bpc_p99	bpc_min	bpc_max
3	server	classical	9.2p1	RSA(4096)	1001	128510081.1578	689812.8805704667	128495569	129571838	130530593	125810367	132993785	265882016.7303	382156.2851421248	265876400	266527915	266850231	264797563	267037886	431795.7213	3047.7135431724464	431350	437200	439936	424369	445370	2.069013625255746	0.010683911490657066	2.069168832	2.084868975	2.09359385	2.001887915	2.109720353	0.0033600930469530475	0.000027743046312739266	0.003358419	0.003406575	0.003435853	0.003256069	0.003464894
4	client	classical	9.2p1	Ed25519(256)	1001	36108859.7003	454614.3809244	36007279	37069215	37740592	35449116	38686811	89039030.7512	150977.07024965793	89048317	89273238	89334657	88547174	89474832	137633.014	2200.347427976797	137531	141506	143224	132098	145054	2.4662248967942024	0.03009272326545053	2.47265313	2.500727468	2.50618682	2.300111399	2.512108723	0.0038121201488511515	0.00007267844770497473	0.003814392	0.003925577	0.003970297	0.003539098	0.004023238
4	server	classical	9.2p1	Ed25519(256)	1001	85354715.6793	720892.6954921543	85315996	86669029	87532894	83118028	88460555	141650220.4815	212897.7059762099	141632836	142039389	142306089	140969811	142602722	374255.1119	2988.360338959906	373661	379763	382490	366625	385572	1.659661556643355	0.013717340650590115	1.660071686	1.67950365	1.692014846	1.600555605	1.703054552	0.00438500484115884	0.000050025267405519714	0.004384572	0.004466471	0.004506414	0.004194388	0.004565147
5	client	hybrid	9.2p1	RSA(2048)	1001	488563874.3347	173502.62440357043	488553925	488832518	489098597	488086468	489597699	1112221674.6284	82276.73640726188	1112218701	1112354121	1112412903	1111949226	1112583070	177108.5485	2934.2301825010477	176882	182127	183726	168480	187102	2.2765125840979032	0.0007885013060542486	2.276572009	2.277771287	2.278167557	2.271743425	2.278520825	0.0003625073306693307	0.000005964247321460479	0.000362052	0.000372764	0.000375955	0.00034498	0.000382592
5	server	hybrid	9.2p1	RSA(2048)	1001	127897331.5684	647959.6847973997	127887482	128920316	129625784	125885001	130431662	232298257.0969	229519.82351722673	232273023	232774625	232976061	231737336	233201338	390419.1409	3130.4244215663252	389816	396284	400307	383027	405124	1.8163311600249763	0.008901971917198844	1.816510986	1.829644311	1.834660604	1.780463335	1.845083339	0.0030526683856143895	0.00002815105348670193	0.003050287	0.003103267	0.003133089	0.002974377	0.003158302
6	client	hybrid	9.2p1	RSA(4096)	1001	512956586.3147	236823.5709832786	512953625	513376562	513562598	512238228	513890917	1190216714.993	155853.93633471653	1190213056	1190472188	1190613153	1189782696	1190749102	192140.9051	2931.0557722404383	191956	197255	199001	184964	203242	2.320307376904093	0.0010424110533457619	2.320366123	2.321814898	2.322319255	2.31621805	2.323653053	0.0003745742527472532	0.0000056697491530979475	0.000374211	0.000384508	0.000387941	0.000360874	0.000396009
6	server	hybrid	9.2p1	RSA(4096)	1001	166939872.3277	717519.8702837059	166909509	168170970	168790810	164510360	169772904	352025456.8761	398935.5513517393	351993197	352732823	353037703	350900386	353691800	435251.2138	3269.211701045012	434703	441312	444505	427418	450583	2.1087321963256724	0.008715704876300833	2.108845753	2.121603138	2.128097339	2.069849179	2.141128424	0.002607272160839162	0.000021512083643038974	0.002605498	0.002645799	0.002669178	0.002535763	0.002709659
7	client	hybrid	9.2p1	Ed25519(256)	1001	491956512.957	407532.443505411	491859991	492862015	493501998	491312202	494334342	1127332117.4595	159139.09216191882	1127340436	1127570763	1127670009	1126695883	1127757925	177889.6653	2811.969745727561	177774	182783	184612	170831	186935	2.2915295273076897	0.0018903062399883521	2.292017676	2.293386991	2.293879761	2.280531804	2.294194141	0.00036159521678321685	0.000005668750270911414	0.000361304	0.000371353	0.000375091	0.000347376	0.000379245
7	server	hybrid	9.2p1	Ed25519(256)	1001	123758712.4496	750052.7273237633	123690268	125159559	125908143	121600761	126798213	227800005.3686	228446.27072759875	227782005	228241832	228458588	227209748	228914467	377143.2897	3093.161686039711	376523	382885	385929	369572	394628	1.8407436689660328	0.010909487666753558	1.841544423	1.857063255	1.864540491	1.795329844	1.87372838	0.0030475129330669306	0.000030449871552643938	0.003045071	0.003101914	0.003124801	0.00294817	0.003215949
8	client	hybrid	10.0p1-7	RSA(2048)	1001	36458951.8402	325853.3407494297	36430209	36951855	37189950	34969647	41109149	81574313.9211	125596.76927299188	81574252	81784687	81904412	81189472	81982608	159991.7832	2099.2397037875503	159857	163680	165696	154556	173531	2.2375963523706295	0.019057026517929142	2.238775699	2.263484712	2.273959256	1.986664623	2.331961314	0.004388544179820174	0.00006463424470027963	0.004385248	0.00449419	0.004548417	0.003852256	0.004707999
8	server	hybrid	10.0p1-7	RSA(2048)	1001	95168464.9361	799539.372946816	95138264	96563347	97523286	90295560	98294207	151438816.7303	273453.90729625156	151397734	151970882	152229028	150772716	152515895	430459.9241	4084.763103073394	430380	437685	440396	421224	445533	1.591376428509489	0.012864372598204176	1.591911068	1.610722089	1.619166602	1.547122373	1.675507765	0.004523384017982009	0.000051463492509891755	0.004520736	0.004611309	0.004650725	0.004342459	0.004729069
9	client	hybrid	10.0p1-7	RSA(3072)	1001	47461593.4276	309353.09276668535	47460909	47942944	48206641	46087383	48350251	116097888.4106	178352.62762830406	116097474	116389320	116503034	115555839	116854767	165995.3916	2097.2643473080625	165952	169604	171608	160665	172813	2.4462421521658335	0.015526268544061177	2.445693693	2.472100729	2.482706732	2.398799069	2.524825503	0.003497561408591407	0.00004573383095656743	0.003495241	0.00357528	0.003614099	0.003366754	0.00367426
9	server	hybrid	10.0p1-7	RSA(3072)	1001	111413832.3926	808719.0187198519	111370070	112755629	113537780	106908472	114667066	200588833.5205	319571.85876582173	200569943	201134564	201397735	199758368	202437838	447507.8721	3882.275597073499	447400	454215	457777	438694	460582	1.800485756568433	0.012922161054893484	1.801012951	1.819594998	1.830098801	1.752352039	1.875359251	0.004016815483516483	0.00004333631658348448	0.004015212	0.004087871	0.004116944	0.003882936	0.004220582
